input,output
"[S(v, z)] B(p, w) | S(a, r) | S(c, m) | S(r, z) | S(m, a) | S(v, c) | S(d, e)","[0, 1, 1, 1, 1, 1, 0]"
"[P(q, z)] S(s, t) | S(a, m) | S(j, f) | P(h, n) | P(n, z) | P(y, d) | P(d, h) | P(q, y)","[0, 0, 0, 1, 1, 1, 1, 1]"
"[B(j, x)] B(c, s) | S(r, a) | B(p, u) | B(n, f) | B(u, x) | B(f, p) | B(j, n) | B(t, z)","[0, 0, 1, 1, 1, 1, 1, 0]"
"[S(o, p)] S(a, k) | B(q, h) | S(d, p) | S(o, e) | B(c, r) | S(e, a) | S(k, d)","[1, 0, 1, 1, 0, 1, 1]"
"[P(b, c)] S(q, j) | P(b, o) | P(x, l) | P(o, m) | P(m, c) | S(z, r) | S(g, f)","[0, 1, 0, 1, 1, 0, 0]"
"[S(i, m)] S(o, u) | S(i, o) | S(u, f) | B(k, d) | S(h, m) | S(l, t) | S(f, h)","[1, 1, 1, 0, 1, 0, 1]"
"[B(d, m)] B(q, n) | B(n, m) | B(h, b) | S(a, x) | B(d, q)","[1, 1, 0, 0, 1]"
"[S(x, r)] S(x, n) | S(n, s) | S(s, w) | S(w, r) | P(y, i) | S(e, l)","[1, 1, 1, 1, 0, 0]"
"[P(e, j)] P(s, g) | P(e, z) | S(v, w) | B(q, u) | P(z, s) | P(g, j) | S(m, o) | B(h, b)","[1, 1, 0, 0, 1, 1, 0, 0]"
"[S(n, y)] S(o, w) | S(w, y) | S(n, r) | P(s, f) | B(k, e) | B(v, i) | S(r, o)","[1, 1, 1, 0, 0, 0, 1]"
"[S(s, p)] P(x, m) | S(o, p) | S(g, o) | S(e, a) | S(s, g)","[0, 1, 1, 0, 1]"
"[S(i, x)] S(d, c) | B(z, r) | S(i, d) | B(q, a) | S(c, x) | B(y, o)","[1, 0, 1, 0, 1, 0]"
"[B(g, l)] S(r, n) | B(y, l) | B(v, y) | P(c, k) | B(h, v) | P(u, s) | B(g, h) | P(a, x)","[0, 1, 1, 0, 1, 0, 1, 0]"
"[P(m, j)] P(z, v) | P(b, k) | P(k, j) | P(m, b) | B(y, n) | B(w, g)","[0, 1, 1, 1, 0, 0]"
"[P(h, a)] S(x, r) | P(n, a) | P(j, p) | P(h, j) | B(i, u) | P(v, n) | P(p, v) | S(s, d) | P(k, m)","[0, 1, 1, 1, 0, 1, 1, 0, 0]"
"[S(g, u)] S(n, k) | S(k, u) | S(q, m) | S(g, z) | P(a, t) | S(z, n) | P(y, v)","[1, 1, 0, 1, 0, 1, 0]"
"[B(r, w)] B(u, c) | B(n, b) | B(t, j) | B(r, u) | B(c, w)","[1, 0, 0, 1, 1]"
"[B(s, j)] P(z, m) | B(y, f) | S(p, d) | B(b, o) | B(s, y) | B(o, j) | B(f, b) | S(c, x)","[0, 1, 0, 1, 1, 1, 1, 0]"
"[S(m, p)] S(m, o) | S(e, p) | B(i, q) | S(o, e) | B(x, h)","[1, 1, 0, 1, 0]"
"[P(i, o)] P(e, n) | P(i, e) | P(g, o) | P(n, h) | P(t, y) | S(a, q) | P(h, g) | P(m, x) | S(w, j)","[1, 1, 1, 1, 0, 0, 1, 0, 0]"
"[P(t, u)] S(a, r) | P(m, l) | B(f, z) | P(c, m) | S(q, o) | P(l, j) | P(j, u) | P(t, c)","[0, 1, 0, 1, 0, 1, 1, 1]"
"[P(y, b)] P(a, m) | P(w, h) | P(v, a) | P(t, b) | P(y, v) | S(s, x) | P(m, t)","[1, 0, 1, 1, 1, 0, 1]"
"[B(d, r)] P(f, s) | B(d, w) | B(m, r) | B(w, a) | B(a, o) | B(o, m) | P(j, p)","[0, 1, 1, 1, 1, 1, 0]"
"[P(x, n)] P(x, g) | B(m, f) | B(c, e) | S(r, w) | B(d, h) | P(g, b) | P(b, n)","[1, 0, 0, 0, 0, 1, 1]"
"[S(i, f)] S(l, r) | S(z, f) | S(i, l) | S(a, p) | B(w, o) | S(r, z) | B(s, k)","[1, 1, 1, 0, 0, 1, 0]"
"[S(g, r)] S(n, r) | S(g, x) | S(f, t) | P(e, d) | P(a, m) | S(x, n)","[1, 1, 0, 0, 0, 1]"
"[B(i, a)] B(f, a) | S(p, s) | B(e, v) | B(w, d) | B(d, f) | B(u, l) | B(i, w)","[1, 0, 0, 1, 1, 0, 1]"
"[B(a, j)] B(p, h) | P(u, v) | P(r, n) | B(t, m) | B(a, p) | B(m, j) | B(y, s) | B(h, t)","[1, 0, 0, 1, 1, 1, 0, 1]"
"[B(t, q)] P(b, x) | B(i, q) | P(g, a) | B(m, i) | B(t, m) | B(w, z)","[0, 1, 0, 1, 1, 0]"
"[S(j, y)] S(w, q) | S(g, w) | S(q, y) | S(s, k) | S(j, l) | P(t, e) | P(z, i) | S(l, g) | S(p, v)","[1, 1, 1, 0, 1, 0, 0, 1, 0]"
"[P(a, p)] P(a, j) | P(m, o) | P(l, p) | S(y, i) | P(j, m) | P(o, l) | S(h, u) | S(q, x)","[1, 1, 1, 0, 1, 1, 0, 0]"
"[B(j, p)] S(w, i) | B(g, p) | B(j, z) | B(k, g) | S(t, y) | S(n, b) | B(u, k) | B(z, u) | S(c, x)","[0, 1, 1, 1, 0, 0, 1, 1, 0]"
"[P(o, y)] P(q, j) | S(r, l) | P(m, y) | P(g, a) | P(o, q) | P(x, m) | P(j, x) | S(h, f)","[1, 0, 1, 0, 1, 1, 1, 0]"
"[P(y, h)] P(m, p) | P(q, m) | P(u, a) | P(p, h) | S(r, v) | P(y, o) | P(o, q) | B(z, s) | S(l, b)","[1, 1, 0, 1, 0, 1, 1, 0, 0]"
"[P(i, g)] P(s, g) | B(w, u) | P(q, v) | P(i, z) | S(y, m) | P(d, s) | S(c, j) | P(z, d)","[1, 0, 0, 1, 0, 1, 0, 1]"
"[P(m, o)] P(m, f) | P(x, k) | P(f, x) | P(n, t) | P(k, o) | S(s, q)","[1, 1, 1, 0, 1, 0]"
"[B(o, g)] P(n, p) | B(t, l) | S(w, i) | B(o, t) | B(l, g)","[0, 1, 0, 1, 1]"
"[B(b, f)] B(h, v) | S(z, a) | S(p, e) | B(b, l) | B(l, h) | B(v, n) | B(o, d) | P(t, s) | B(n, f)","[1, 0, 0, 1, 1, 1, 0, 0, 1]"
"[B(p, e)] B(u, b) | B(b, e) | P(r, q) | B(p, v) | S(k, o) | B(f, n) | B(v, u)","[1, 1, 0, 1, 0, 0, 1]"
"[S(q, f)] B(y, m) | S(n, z) | S(l, f) | S(b, j) | P(c, g) | S(z, l) | S(x, n) | S(q, x)","[0, 1, 1, 0, 0, 1, 1, 1]"
"[B(p, a)] B(p, o) | B(o, z) | P(j, i) | B(z, h) | B(s, x) | B(h, a)","[1, 1, 0, 1, 0, 1]"
"[B(z, t)] B(l, t) | B(h, l) | P(a, r) | B(z, e) | S(w, u) | B(f, b) | B(e, y) | B(y, h)","[1, 1, 0, 1, 0, 0, 1, 1]"
"[P(e, h)] P(g, b) | S(v, x) | P(b, h) | P(r, g) | B(d, y) | B(p, n) | B(a, k) | P(s, r) | P(e, s)","[1, 0, 1, 1, 0, 0, 0, 1, 1]"
"[S(c, i)] S(u, i) | P(f, z) | S(v, u) | S(s, j) | S(p, m) | S(c, v)","[1, 0, 1, 0, 0, 1]"
"[P(q, f)] P(d, f) | P(k, r) | S(w, i) | B(h, n) | B(t, x) | P(q, k) | P(r, d)","[1, 1, 0, 0, 0, 1, 1]"
"[S(s, h)] P(f, i) | S(n, k) | S(m, t) | P(u, r) | S(s, n) | S(t, h) | P(q, x) | S(k, m)","[0, 1, 1, 0, 1, 1, 0, 1]"
"[B(s, m)] B(s, b) | B(b, v) | P(l, n) | P(t, j) | S(d, x) | B(q, m) | B(v, q)","[1, 1, 0, 0, 0, 1, 1]"
"[S(l, f)] S(i, t) | S(l, i) | S(m, f) | S(t, z) | P(k, g) | P(b, r) | S(h, u) | S(z, m)","[1, 1, 1, 1, 0, 0, 0, 1]"
"[P(p, r)] S(q, w) | P(t, r) | B(f, h) | P(p, d) | P(d, t)","[0, 1, 0, 1, 1]"
"[P(p, m)] P(h, y) | P(t, h) | P(n, g) | P(y, z) | P(p, t) | P(z, m) | B(u, k)","[1, 1, 0, 1, 1, 1, 0]"
"[S(a, s)] S(z, x) | S(p, z) | S(x, s) | S(a, e) | S(h, q) | S(e, p) | B(m, b) | B(k, y)","[1, 1, 1, 1, 0, 1, 0, 0]"
"[P(i, m)] P(n, z) | S(u, k) | P(z, b) | P(i, n) | P(x, w) | B(j, l) | P(b, r) | P(r, m)","[1, 0, 1, 1, 0, 0, 1, 1]"
"[S(x, n)] S(s, n) | S(z, k) | S(k, s) | S(g, p) | P(t, i) | B(e, r) | P(q, c) | S(x, z)","[1, 1, 1, 0, 0, 0, 0, 1]"
"[B(y, k)] P(b, t) | B(i, u) | B(c, x) | B(y, c) | S(j, n) | B(x, k)","[0, 0, 1, 1, 0, 1]"
"[B(d, l)] S(r, m) | P(b, f) | B(c, t) | B(t, l) | B(p, c) | P(w, o) | B(d, p)","[0, 0, 1, 1, 1, 0, 1]"
"[S(z, w)] B(b, i) | B(n, t) | S(d, k) | S(z, d) | S(k, w) | S(h, u)","[0, 0, 1, 1, 1, 0]"
"[B(z, f)] B(y, k) | P(n, v) | B(h, f) | B(m, j) | B(c, u) | B(i, h) | B(l, i) | B(o, l) | B(z, o)","[0, 0, 1, 0, 0, 1, 1, 1, 1]"
"[S(q, g)] S(q, t) | S(j, w) | S(t, m) | P(a, o) | S(z, g) | S(m, z) | S(p, n)","[1, 0, 1, 0, 1, 1, 0]"
"[P(h, q)] P(s, q) | P(k, s) | B(d, g) | S(l, p) | P(r, f) | P(h, r) | P(f, k)","[1, 1, 0, 0, 1, 1, 1]"
"[P(o, m)] P(y, l) | B(k, s) | P(r, p) | P(u, t) | P(l, m) | P(t, y) | P(o, u)","[1, 0, 0, 1, 1, 1, 1]"
"[B(w, z)] S(y, e) | S(l, j) | B(o, z) | P(t, m) | B(n, o) | B(w, n) | S(x, a)","[0, 0, 1, 0, 1, 1, 0]"
"[S(w, i)] S(w, z) | B(p, e) | S(n, f) | S(k, i) | B(s, j) | S(z, k) | S(u, o)","[1, 0, 0, 1, 0, 1, 0]"
"[P(j, k)] P(a, c) | B(h, u) | P(m, k) | B(t, b) | P(j, w) | P(v, m) | P(w, v)","[0, 0, 1, 0, 1, 1, 1]"
"[B(t, w)] B(h, b) | B(y, x) | B(t, p) | S(v, i) | B(p, h) | B(b, w)","[1, 0, 1, 0, 1, 1]"
"[B(k, b)] B(a, r) | B(i, b) | B(r, i) | P(l, z) | P(h, f) | S(c, y) | B(k, a)","[1, 1, 1, 0, 0, 0, 1]"
"[P(e, p)] P(a, q) | P(f, d) | P(e, a) | P(q, f) | S(j, z) | P(d, p) | S(v, h)","[1, 1, 1, 1, 0, 1, 0]"
"[B(g, s)] S(k, d) | B(m, p) | B(l, s) | B(g, m) | B(e, z) | P(f, h) | B(p, l) | B(c, w)","[0, 1, 1, 1, 0, 0, 1, 0]"
"[B(j, r)] B(a, k) | B(k, i) | S(s, l) | B(j, a) | B(p, b) | B(i, r)","[1, 1, 0, 1, 0, 1]"
"[B(x, i)] B(e, s) | B(x, t) | B(t, e) | B(c, l) | P(v, p) | B(r, f) | B(h, i) | S(o, g) | B(s, h)","[1, 1, 1, 0, 0, 0, 1, 0, 1]"
"[S(a, y)] S(l, y) | S(t, l) | P(s, u) | S(c, t) | P(o, i) | S(a, j) | B(v, r) | S(j, c)","[1, 1, 0, 1, 0, 1, 0, 1]"
"[P(t, f)] P(c, j) | B(w, q) | P(d, n) | S(i, x) | P(j, f) | P(t, c) | B(h, e)","[1, 0, 0, 0, 1, 1, 0]"
"[P(o, q)] P(i, q) | P(n, s) | B(h, z) | P(x, l) | P(s, i) | S(m, u) | P(o, n)","[1, 1, 0, 0, 1, 0, 1]"
"[B(f, v)] P(h, n) | B(f, u) | B(r, d) | B(z, t) | B(d, v) | B(u, r)","[0, 1, 1, 0, 1, 1]"
"[P(d, k)] P(w, b) | P(o, k) | B(j, q) | P(d, l) | P(l, w) | P(h, z) | P(b, o)","[1, 1, 0, 1, 1, 0, 1]"
"[S(b, j)] S(b, s) | B(c, q) | P(a, p) | S(l, j) | S(h, x) | S(s, l)","[1, 0, 0, 1, 0, 1]"
"[B(c, u)] P(h, z) | B(c, r) | S(m, i) | B(a, b) | B(b, q) | B(q, u) | B(r, a)","[0, 1, 0, 1, 1, 1, 1]"
"[B(r, j)] B(h, u) | P(d, b) | B(p, f) | B(f, j) | B(r, p)","[0, 0, 1, 1, 1]"
"[S(z, b)] P(q, u) | S(y, m) | S(d, b) | S(t, k) | S(z, y) | P(p, s) | S(m, d)","[0, 1, 1, 0, 1, 0, 1]"
"[S(w, v)] S(w, y) | S(b, n) | S(n, v) | S(l, t) | P(d, a) | P(g, j) | S(y, b)","[1, 1, 1, 0, 0, 0, 1]"
"[S(d, o)] P(v, t) | S(n, o) | S(b, n) | S(d, b) | P(l, e) | S(u, k)","[0, 1, 1, 1, 0, 0]"
"[B(t, i)] B(y, i) | P(j, g) | B(w, r) | B(d, y) | B(r, d) | B(t, w) | P(v, x)","[1, 0, 1, 1, 1, 1, 0]"
"[B(a, j)] B(a, t) | B(e, j) | B(r, e) | S(o, d) | B(t, r) | B(g, x) | P(v, z) | S(n, h)","[1, 1, 1, 0, 1, 0, 0, 0]"
"[B(w, d)] B(l, b) | B(n, o) | S(e, t) | B(o, d) | S(j, s) | B(w, n)","[0, 1, 0, 1, 0, 1]"
"[B(o, v)] B(u, v) | B(o, b) | B(a, c) | B(b, u) | B(p, f)","[1, 1, 0, 1, 0]"
"[P(c, s)] P(z, s) | S(m, y) | P(e, z) | S(o, f) | S(k, j) | P(c, w) | B(n, a) | P(w, e)","[1, 0, 1, 0, 0, 1, 0, 1]"
"[P(b, t)] P(b, u) | B(h, v) | P(l, r) | P(p, l) | P(r, t) | S(s, y) | B(f, w) | P(u, p)","[1, 0, 1, 1, 1, 0, 0, 1]"
"[S(c, g)] B(o, s) | S(c, b) | B(m, f) | S(b, q) | P(t, e) | S(l, x) | S(x, g) | S(q, l)","[0, 1, 0, 1, 0, 1, 1, 1]"
"[B(n, c)] B(l, m) | B(b, c) | B(d, l) | B(u, v) | B(m, b) | P(g, p) | P(w, x) | P(a, e) | B(n, d)","[1, 1, 1, 0, 1, 0, 0, 0, 1]"
"[B(s, z)] B(y, w) | P(a, r) | B(h, u) | P(c, i) | B(s, y) | B(u, z) | B(w, h)","[1, 0, 1, 0, 1, 1, 1]"
"[P(b, y)] P(d, k) | P(o, a) | P(b, o) | P(z, n) | P(a, y) | B(w, p) | S(c, g)","[0, 1, 1, 0, 1, 0, 0]"
"[P(s, k)] P(f, w) | P(q, k) | P(s, f) | P(w, p) | B(t, b) | P(a, h) | P(p, q)","[1, 1, 1, 1, 0, 0, 1]"
"[B(a, f)] B(c, e) | B(a, c) | P(g, x) | B(e, t) | B(t, j) | P(p, o) | B(j, f) | S(q, k)","[1, 1, 0, 1, 1, 0, 1, 0]"
"[B(h, c)] S(b, f) | B(m, y) | B(h, m) | B(v, c) | B(j, v) | B(s, x) | B(y, j)","[0, 1, 1, 1, 1, 0, 1]"
"[S(a, c)] S(j, c) | B(y, n) | B(z, v) | S(e, w) | B(i, d) | S(a, p) | S(p, j)","[1, 0, 0, 0, 0, 1, 1]"
"[S(c, k)] S(f, s) | P(b, u) | B(q, l) | S(z, k) | B(i, e) | S(s, z) | S(c, f)","[1, 0, 0, 1, 0, 1, 1]"
"[B(l, m)] B(k, d) | B(s, x) | P(u, j) | P(z, e) | B(x, m) | B(l, s)","[0, 1, 0, 0, 1, 1]"
"[B(z, u)] B(m, p) | S(j, y) | S(c, e) | B(w, s) | P(b, x) | B(z, w) | B(s, u)","[0, 0, 0, 1, 0, 1, 1]"
"[S(l, o)] S(q, o) | S(l, z) | S(f, x) | S(z, q) | B(h, j)","[1, 1, 0, 1, 0]"
"[S(y, b)] S(y, l) | S(p, b) | S(l, e) | S(e, p) | B(x, f) | P(m, h) | P(a, z)","[1, 1, 1, 1, 0, 0, 0]"
"[B(p, d)] B(v, u) | B(u, j) | B(p, a) | S(n, r) | S(t, w) | B(j, d) | B(a, v) | B(h, l)","[1, 1, 1, 0, 0, 1, 1, 0]"
"[B(f, g)] B(r, a) | B(y, g) | B(f, r) | B(a, y) | B(s, v) | B(w, d)","[1, 1, 1, 1, 0, 0]"
"[P(w, x)] P(e, x) | B(p, c) | P(w, o) | S(s, f) | B(z, a) | P(o, e)","[1, 0, 1, 0, 0, 1]"
"[P(p, t)] P(k, t) | P(p, v) | P(f, b) | P(a, k) | P(v, a) | B(s, l)","[1, 1, 0, 1, 1, 0]"
"[B(y, r)] S(c, m) | B(j, k) | B(k, r) | B(v, j) | B(p, v) | S(e, a) | P(l, o) | B(y, p)","[0, 1, 1, 1, 1, 0, 0, 1]"
"[P(r, e)] P(j, i) | P(r, j) | S(f, s) | B(d, p) | P(h, w) | P(i, e)","[1, 1, 0, 0, 0, 1]"
"[B(q, a)] B(q, v) | B(v, b) | B(b, y) | B(y, a) | B(k, l) | B(r, i)","[1, 1, 1, 1, 0, 0]"
"[B(v, c)] B(a, r) | S(n, h) | B(r, c) | B(v, o) | B(s, u) | B(w, a) | B(o, w)","[1, 0, 1, 1, 0, 1, 1]"
"[P(x, l)] P(c, v) | P(n, s) | P(m, c) | P(u, y) | P(v, l) | P(x, m) | S(e, d)","[1, 0, 1, 0, 1, 1, 0]"
"[S(y, c)] S(y, r) | S(j, x) | P(z, k) | S(r, j) | S(x, c) | B(g, n)","[1, 1, 0, 1, 1, 0]"
"[S(f, v)] S(z, v) | S(x, z) | B(c, l) | S(k, t) | S(p, a) | S(f, o) | S(o, x)","[1, 1, 0, 0, 0, 1, 1]"
"[S(o, u)] S(c, p) | S(f, n) | B(a, q) | S(o, g) | S(g, f) | S(n, s) | S(s, u)","[0, 1, 0, 1, 1, 1, 1]"
"[P(y, s)] P(b, s) | S(u, g) | P(m, z) | P(h, m) | S(v, i) | P(z, b) | P(y, h)","[1, 0, 1, 1, 0, 1, 1]"
"[S(z, f)] S(z, m) | S(x, b) | P(a, q) | S(m, x) | S(e, g) | S(b, f)","[1, 1, 0, 1, 0, 1]"
"[S(f, j)] B(e, k) | S(v, q) | S(g, t) | S(f, v) | S(q, u) | S(u, j)","[0, 1, 0, 1, 1, 1]"
"[S(j, t)] S(y, e) | S(e, o) | S(v, t) | S(j, y) | S(k, w) | S(o, v) | S(m, a)","[1, 1, 1, 1, 0, 1, 0]"
"[B(n, f)] P(v, r) | B(n, q) | P(c, y) | P(z, e) | B(q, k) | B(k, f)","[0, 1, 0, 0, 1, 1]"
"[B(w, p)] B(z, c) | B(u, p) | S(y, d) | B(w, i) | B(q, e) | B(a, t) | B(i, u)","[0, 1, 0, 1, 0, 0, 1]"
"[P(z, s)] P(j, a) | S(i, l) | S(y, h) | P(m, w) | P(z, m) | B(x, t) | P(w, s)","[0, 0, 0, 1, 1, 0, 1]"
"[B(m, i)] B(m, h) | B(h, q) | P(o, v) | S(r, l) | B(t, j) | B(q, i)","[1, 1, 0, 0, 0, 1]"
"[P(f, p)] B(n, j) | P(m, i) | P(r, p) | P(f, v) | P(v, r)","[0, 0, 1, 1, 1]"
"[S(a, p)] S(a, e) | S(e, g) | S(r, p) | B(m, l) | S(s, r) | P(h, f) | S(g, s)","[1, 1, 1, 0, 1, 0, 1]"
"[S(e, n)] S(z, u) | S(c, q) | S(u, n) | P(b, s) | P(d, o) | S(l, z) | S(f, l) | S(e, f)","[1, 0, 1, 0, 0, 1, 1, 1]"
"[P(b, i)] P(a, j) | P(j, i) | B(q, c) | S(x, g) | B(t, v) | P(b, a) | B(k, l)","[1, 1, 0, 0, 0, 1, 0]"
"[B(a, p)] B(h, n) | B(a, b) | B(n, p) | S(t, z) | B(b, h) | P(o, l)","[1, 1, 1, 0, 1, 0]"
"[B(d, w)] P(q, t) | B(u, g) | P(z, p) | B(k, o) | B(o, e) | B(d, k) | B(i, w) | S(x, a) | B(e, i)","[0, 0, 0, 1, 1, 1, 1, 0, 1]"
"[S(m, k)] B(d, g) | S(m, l) | S(v, k) | S(l, z) | S(z, v) | S(h, a)","[0, 1, 1, 1, 1, 0]"
"[P(r, y)] P(e, y) | P(o, e) | P(r, o) | B(u, f) | S(c, b)","[1, 1, 1, 0, 0]"
"[P(z, x)] P(s, o) | B(v, d) | P(b, r) | P(j, s) | P(z, j) | P(p, q) | P(o, x) | B(a, g)","[1, 0, 0, 1, 1, 0, 1, 0]"
"[S(h, r)] S(c, x) | S(h, n) | B(l, u) | S(n, a) | S(e, w) | S(a, r)","[0, 1, 0, 1, 0, 1]"
"[B(i, o)] S(d, z) | B(r, k) | B(y, r) | B(e, j) | S(m, v) | B(i, y) | P(b, x) | B(k, o)","[0, 1, 1, 0, 0, 1, 0, 1]"
"[B(v, n)] S(e, k) | B(v, x) | B(x, z) | S(a, w) | B(z, n)","[0, 1, 1, 0, 1]"
"[P(o, g)] P(d, y) | P(p, g) | P(u, p) | P(o, u) | P(x, c) | B(w, l)","[0, 1, 1, 1, 0, 0]"
"[B(v, h)] B(o, y) | S(x, j) | B(v, p) | B(p, a) | P(u, w) | S(q, n) | B(a, h)","[0, 0, 1, 1, 0, 0, 1]"
"[S(r, a)] S(p, q) | S(q, a) | S(r, z) | B(y, g) | B(h, j) | S(z, p) | B(u, m) | P(t, o)","[1, 1, 1, 0, 0, 1, 0, 0]"
"[P(a, u)] P(a, v) | S(x, f) | P(v, o) | B(q, s) | P(o, u) | B(t, d) | B(y, l)","[1, 0, 1, 0, 1, 0, 0]"
"[B(m, a)] B(m, n) | B(s, l) | B(r, g) | B(j, h) | B(q, a) | B(x, u) | B(n, r) | B(g, q)","[1, 0, 1, 0, 1, 0, 1, 1]"
"[S(i, l)] S(c, u) | S(m, l) | B(d, p) | B(f, g) | P(k, t) | S(v, m) | S(i, v)","[0, 1, 0, 0, 0, 1, 1]"
"[S(g, r)] S(g, b) | P(k, u) | S(q, r) | S(h, q) | B(m, f) | S(b, h)","[1, 0, 1, 1, 0, 1]"
"[S(l, x)] S(u, m) | S(l, u) | P(e, q) | S(j, h) | S(m, x)","[1, 1, 0, 0, 1]"
"[S(o, x)] S(o, n) | S(q, p) | S(r, b) | P(w, t) | S(f, x) | S(n, f) | S(v, g)","[1, 0, 0, 0, 1, 1, 0]"
"[S(x, n)] S(j, o) | P(c, r) | S(x, j) | S(d, n) | P(i, f) | S(b, d) | B(y, z) | S(o, b)","[1, 0, 1, 1, 0, 1, 0, 1]"
"[P(n, w)] P(n, u) | P(m, v) | S(y, k) | B(g, r) | P(u, m) | S(l, f) | P(v, w)","[1, 1, 0, 0, 1, 0, 1]"
"[S(m, y)] B(f, a) | S(i, v) | B(o, w) | S(m, i) | P(k, r) | S(j, y) | S(v, j) | B(q, p)","[0, 1, 0, 1, 0, 1, 1, 0]"
"[P(x, h)] P(e, p) | P(m, w) | P(w, d) | S(c, y) | S(k, t) | B(b, q) | P(x, m) | P(d, h)","[0, 1, 1, 0, 0, 0, 1, 1]"
"[S(t, f)] P(j, d) | S(x, e) | S(b, y) | S(y, f) | S(r, o) | S(e, b) | P(s, l) | S(t, x) | B(q, v)","[0, 1, 1, 1, 0, 1, 0, 1, 0]"
"[P(p, j)] P(b, y) | P(c, t) | P(p, s) | P(o, a) | P(t, j) | S(r, i) | P(s, c)","[0, 1, 1, 0, 1, 0, 1]"
"[S(h, z)] S(x, s) | S(h, k) | S(w, z) | S(k, w) | P(i, p) | P(o, f) | P(n, t)","[0, 1, 1, 1, 0, 0, 0]"
"[P(z, q)] P(d, c) | P(u, q) | S(a, f) | P(z, d) | P(c, u) | S(b, j)","[1, 1, 0, 1, 1, 0]"
"[B(h, d)] S(l, t) | B(n, j) | B(h, w) | B(i, d) | B(w, i)","[0, 0, 1, 1, 1]"
"[P(z, x)] B(q, t) | P(j, n) | P(n, x) | P(d, s) | P(z, j) | P(v, a)","[0, 1, 1, 0, 1, 0]"
"[P(x, a)] P(x, e) | P(v, z) | P(u, t) | P(e, r) | S(s, p) | P(r, k) | P(j, q) | P(k, a)","[1, 0, 0, 1, 0, 1, 0, 1]"
"[P(v, p)] P(l, p) | B(i, k) | P(h, w) | P(y, l) | S(z, o) | B(u, t) | P(w, y) | P(v, h)","[1, 0, 1, 1, 0, 0, 1, 1]"
"[P(j, a)] B(s, w) | P(o, a) | P(k, e) | P(j, r) | P(r, o)","[0, 1, 0, 1, 1]"
"[B(z, t)] B(m, a) | B(c, g) | P(s, p) | B(b, k) | B(h, t) | B(g, h) | B(z, c)","[0, 1, 0, 0, 1, 1, 1]"
"[B(u, o)] B(c, z) | B(y, b) | B(u, a) | B(a, k) | B(k, o)","[0, 0, 1, 1, 1]"
"[S(v, y)] P(k, b) | S(l, p) | S(e, t) | S(t, y) | S(v, e) | B(x, w)","[0, 0, 1, 1, 1, 0]"
"[P(k, u)] P(g, p) | S(l, b) | P(p, o) | P(f, n) | P(k, g) | P(o, j) | S(a, q) | P(j, u)","[1, 0, 1, 0, 1, 1, 0, 1]"
"[P(u, l)] B(h, i) | P(b, l) | P(u, o) | P(r, b) | S(y, e) | B(n, d) | P(o, r) | B(x, s)","[0, 1, 1, 1, 0, 0, 1, 0]"
"[P(v, g)] P(q, y) | P(r, b) | P(v, d) | P(h, i) | P(s, j) | P(d, h) | P(i, g)","[0, 0, 1, 1, 0, 1, 1]"
"[S(g, b)] S(t, z) | S(g, x) | P(m, a) | B(h, p) | S(z, b) | S(x, f) | S(f, t)","[1, 1, 0, 0, 1, 1, 1]"
"[S(p, t)] S(p, c) | S(a, k) | S(c, e) | S(e, t) | S(i, n) | S(u, y)","[1, 0, 1, 1, 0, 0]"
"[P(z, m)] P(o, m) | P(y, o) | P(z, y) | B(u, f) | P(n, p) | S(g, w)","[1, 1, 1, 0, 0, 0]"
"[S(b, g)] S(m, a) | S(c, t) | P(v, l) | S(b, i) | S(a, z) | S(z, g) | P(q, w) | B(s, r) | S(i, m)","[1, 0, 0, 1, 1, 1, 0, 0, 1]"
"[P(i, m)] B(d, a) | S(z, f) | P(l, j) | P(u, g) | P(p, u) | S(y, h) | P(i, p) | P(g, m)","[0, 0, 0, 1, 1, 0, 1, 1]"
"[S(m, f)] B(h, w) | S(b, f) | B(r, n) | S(m, u) | B(g, l) | S(v, b) | P(y, j) | S(u, v)","[0, 1, 0, 1, 0, 1, 0, 1]"
"[S(j, c)] S(s, t) | B(b, o) | S(t, g) | S(j, u) | S(g, c) | S(u, s) | B(r, i)","[1, 0, 1, 1, 1, 1, 0]"
"[S(j, s)] S(w, s) | S(b, e) | B(h, v) | S(z, o) | S(f, w) | S(j, p) | S(p, f)","[1, 0, 0, 0, 1, 1, 1]"
"[P(z, l)] P(s, q) | P(v, s) | P(q, l) | S(w, d) | P(z, v) | S(c, j)","[1, 1, 1, 0, 1, 0]"
"[B(y, s)] B(v, p) | S(d, c) | B(p, s) | B(k, h) | B(o, i) | B(y, o) | S(m, u) | B(i, v)","[1, 0, 1, 0, 1, 1, 0, 1]"
"[B(j, d)] B(y, d) | B(a, y) | P(v, x) | B(j, a) | P(z, k)","[1, 1, 0, 1, 0]"
"[B(x, m)] S(s, h) | B(i, a) | B(x, g) | P(d, k) | B(a, m) | B(g, i) | B(u, p) | P(w, n)","[0, 1, 1, 0, 1, 1, 0, 0]"
"[P(h, a)] P(l, d) | P(r, f) | P(o, a) | P(h, p) | P(d, o) | P(p, l) | P(u, c)","[1, 0, 1, 1, 1, 1, 0]"
"[S(p, y)] P(l, b) | S(a, s) | S(p, a) | S(r, y) | S(h, q) | P(c, e) | S(s, r)","[0, 1, 1, 1, 0, 0, 1]"
